time	V(in)	V(out)	abs(V(out)/V(in))
6.213969353130867e-003	6.308143e-002	-6.423220e-001	1.018243e+001
6.229858534213644e-003	6.425080e-002	-6.543049e-001	1.018361e+001
6.245137098727470e-003	6.471732e-002	-6.591271e-001	1.018471e+001
6.263192074315239e-003	6.443349e-002	-6.563200e-001	1.018601e+001
6.286471410984081e-003	6.268481e-002	-6.386157e-001	1.018773e+001
6.324187039490113e-003	5.674517e-002	-5.782805e-001	1.019083e+001
6.384130374693442e-003	4.111223e-002	-4.192633e-001	1.019802e+001
6.473779021786866e-003	9.853174e-003	-1.010434e-001	1.025490e+001
6.574067670667350e-003	-2.777767e-002	2.822811e-001	1.016216e+001
6.632534538883786e-003	-4.705651e-002	4.787822e-001	1.017462e+001
6.669459383490593e-003	-5.626381e-002	5.726933e-001	1.017872e+001
6.695162895327276e-003	-6.081889e-002	6.191946e-001	1.018096e+001
6.713969353130867e-003	-6.308143e-002	6.423220e-001	1.018243e+001
6.729858534213644e-003	-6.425080e-002	6.543049e-001	1.018361e+001
6.745137098727471e-003	-6.471732e-002	6.591271e-001	1.018471e+001
6.763192074315239e-003	-6.443349e-002	6.563199e-001	1.018601e+001
6.786471410984082e-003	-6.268481e-002	6.386157e-001	1.018773e+001
6.824187039490114e-003	-5.674517e-002	5.782805e-001	1.019083e+001
6.884130374693444e-003	-4.111223e-002	4.192633e-001	1.019802e+001
6.973779021786869e-003	-9.853174e-003	1.010433e-001	1.025490e+001
7.074067670667352e-003	2.777767e-002	-2.822811e-001	1.016216e+001
7.132534538883786e-003	4.705651e-002	-4.787822e-001	1.017462e+001
7.169459383490593e-003	5.626381e-002	-5.726933e-001	1.017872e+001
7.195162895327277e-003	6.081889e-002	-6.191945e-001	1.018096e+001
7.213969353130867e-003	6.308143e-002	-6.423220e-001	1.018243e+001
7.229858534213645e-003	6.425080e-002	-6.543049e-001	1.018361e+001
7.245137098727471e-003	6.471732e-002	-6.591271e-001	1.018471e+001
7.263192074315239e-003	6.443349e-002	-6.563199e-001	1.018601e+001
7.286471410984081e-003	6.268481e-002	-6.386157e-001	1.018773e+001
7.324187039490113e-003	5.674517e-002	-5.782805e-001	1.019083e+001
7.384130374693442e-003	4.111223e-002	-4.192633e-001	1.019802e+001
7.473779021786865e-003	9.853174e-003	-1.010433e-001	1.025490e+001
7.574067670667350e-003	-2.777767e-002	2.822811e-001	1.016216e+001
7.632534538883786e-003	-4.705651e-002	4.787822e-001	1.017462e+001
7.669459383490593e-003	-5.626381e-002	5.726933e-001	1.017872e+001
