time	Vsh	Vpre
9.536499999999240e-004	9.585183e-004	2.331832e-001
9.604142857142206e-004	8.710755e-004	2.236663e-001
9.671785714285172e-004	7.944909e-004	2.145027e-001
9.739428571428138e-004	7.287644e-004	2.056924e-001
9.807071428571104e-004	6.738960e-004	1.972353e-001
9.874714285714071e-004	6.298858e-004	1.891315e-001
9.942357142857035e-004	5.967337e-004	1.813810e-001
1.001000000000000e-003	5.744397e-004	1.739838e-001
1.001010000000000e-003	5.744000e-004	1.739806e-001
1.001030000000000e-003	5.743565e-004	1.740103e-001
1.001070000000000e-003	5.748214e-004	1.742738e-001
1.001150000000000e-003	5.796051e-004	1.755163e-001
1.001250000000000e-003	5.967556e-004	1.782836e-001
1.001350000000000e-003	6.300553e-004	1.823046e-001
1.001400000000000e-003	6.590191e-004	1.849794e-001
1.001500000000000e-003	7.375779e-004	1.912781e-001
1.001570000000000e-003	8.243223e-004	1.964862e-001
1.001649999999999e-003	9.519038e-004	2.024717e-001
1.001749999999999e-003	1.147716e-003	2.099516e-001
1.001849999999999e-003	1.386244e-003	2.174271e-001
1.001949999999999e-003	1.669179e-003	2.248980e-001
1.002049999999999e-003	1.995924e-003	2.323643e-001
1.002149999999999e-003	2.365892e-003	2.398260e-001
1.002250000000000e-003	2.778498e-003	2.472830e-001
1.002350000000000e-003	3.233164e-003	2.547355e-001
1.002450000000000e-003	3.729317e-003	2.621833e-001
1.002650000000000e-003	4.843829e-003	2.770651e-001
1.002850000000000e-003	6.117570e-003	2.919285e-001
1.003050000000000e-003	7.546166e-003	3.067736e-001
1.003250000000000e-003	9.125330e-003	3.216003e-001
1.003450000000000e-003	1.085086e-002	3.364087e-001
1.003750000000000e-003	1.370462e-002	3.585870e-001
1.004050000000001e-003	1.686492e-002	3.807241e-001
1.004350000000001e-003	2.031862e-002	4.028202e-001
1.004657142857143e-003	2.417673e-002	4.253996e-001
1.004964285714286e-003	2.828430e-002	4.479365e-001
1.005271428571429e-003	3.264134e-002	4.704308e-001
1.005578571428572e-003	3.724784e-002	4.928825e-001
1.005885714285715e-003	4.210381e-002	5.152918e-001
1.006192857142857e-003	4.720924e-002	5.376585e-001
1.006500000000000e-003	5.256414e-002	5.599827e-001
1.006569999999997e-003	5.380937e-002	5.646988e-001
1.006749999999995e-003	5.703836e-002	5.735522e-001
1.006900000000000e-003	5.973234e-002	5.775659e-001
1.007000000000000e-003	6.151655e-002	5.784017e-001
1.007030000000000e-003	6.204676e-002	5.783193e-001
1.007347142857143e-003	6.749586e-002	5.771903e-001
1.007664285714286e-003	7.271193e-002	5.760624e-001
1.007981428571429e-003	7.769497e-002	5.749359e-001
1.008298571428572e-003	8.244498e-002	5.738106e-001
1.008615714285715e-003	8.696196e-002	5.726865e-001
1.008932857142858e-003	9.124591e-002	5.715637e-001
1.009250000000001e-003	9.529682e-002	5.704421e-001
1.009350000000001e-003	9.653644e-002	5.700893e-001
1.010107142857145e-003	1.050834e-001	5.674260e-001
1.010864285714288e-003	1.127453e-001	5.647750e-001
