time	V(in)	V(out)
4.348785714285781e-004	1.219043e-009	-3.060023e-003
4.494928571428627e-004	1.107945e-009	-2.781147e-003
4.641071428571472e-004	1.006368e-009	-2.526170e-003
4.787214285714318e-004	9.143113e-010	-2.295091e-003
4.933357142857163e-004	8.317751e-010	-2.087910e-003
5.079500000000008e-004	7.587595e-010	-1.904627e-003
5.080500000000008e-004	7.582692e-010	-1.903396e-003
5.226642857142789e-004	6.911307e-010	-1.734866e-003
5.372785714285571e-004	6.289038e-010	-1.578665e-003
5.518928571428352e-004	5.715886e-010	-1.434793e-003
5.665071428571134e-004	5.191849e-010	-1.303250e-003
5.811214285713916e-004	4.716929e-010	-1.184037e-003
5.957357142856697e-004	4.291126e-010	-1.077152e-003
6.103499999999478e-004	3.914438e-010	-9.825965e-004
6.104499999999478e-004	3.911909e-010	-9.819617e-004
6.250642857142259e-004	3.565542e-010	-8.950170e-004
6.396785714285041e-004	3.244513e-010	-8.144329e-004
6.542928571427822e-004	2.948824e-010	-7.402094e-004
6.689071428570603e-004	2.678474e-010	-6.723465e-004
6.835214285713386e-004	2.433462e-010	-6.108442e-004
6.981357142856167e-004	2.213791e-010	-5.557025e-004
7.127499999998948e-004	2.019458e-010	-5.069213e-004
7.128499999998947e-004	2.018153e-010	-5.065938e-004
7.274642857141729e-004	1.839462e-010	-4.617391e-004
7.420785714284511e-004	1.673843e-010	-4.201657e-004
7.566928571427292e-004	1.521297e-010	-3.818739e-004
7.713071428570073e-004	1.381824e-010	-3.468634e-004
7.859214285712855e-004	1.255423e-010	-3.151344e-004
8.005357142855636e-004	1.142094e-010	-2.866867e-004
8.151499999998418e-004	1.041838e-010	-2.615206e-004
8.152499999998417e-004	1.041165e-010	-2.613516e-004
8.298642857141198e-004	9.489779e-011	-2.382110e-004
8.444785714283981e-004	8.635354e-011	-2.167634e-004
8.590928571426762e-004	7.848370e-011	-1.970086e-004
8.737071428569543e-004	7.128826e-011	-1.789467e-004
8.883214285712325e-004	6.476723e-011	-1.625777e-004
9.029357142855106e-004	5.892060e-011	-1.479016e-004
