time	V(out)
1.471192857143120e-003	4.152352e-005
1.485807142857414e-003	3.787832e-005
1.500421428571708e-003	3.456028e-005
1.515035714286002e-003	3.156940e-005
1.529650000000296e-003	2.890568e-005
1.529750000000296e-003	2.888781e-005
1.544364285714590e-003	2.643192e-005
1.558978571428884e-003	2.414970e-005
1.573592857143178e-003	2.204113e-005
1.588207142857472e-003	2.010622e-005
1.602821428571766e-003	1.834497e-005
1.617435714286060e-003	1.675738e-005
1.632050000000354e-003	1.534344e-005
1.632150000000354e-003	1.533396e-005
1.646764285714648e-003	1.403035e-005
1.661378571428942e-003	1.281892e-005
1.675992857143236e-003	1.169967e-005
1.690607142857530e-003	1.067260e-005
1.705221428571824e-003	9.737708e-006
1.719835714286118e-003	8.894997e-006
1.734450000000412e-003	8.144466e-006
1.734550000000412e-003	8.139430e-006
1.749164285714706e-003	7.447460e-006
1.763778571429000e-003	6.804420e-006
1.778392857143294e-003	6.210310e-006
1.793007142857588e-003	5.665130e-006
1.807621428571882e-003	5.168880e-006
1.822235714286176e-003	4.721560e-006
1.836850000000470e-003	4.323170e-006
1.836950000000470e-003	4.320497e-006
1.851564285714764e-003	3.953192e-006
1.866178571429058e-003	3.611859e-006
1.880792857143352e-003	3.296499e-006
1.895407142857646e-003	3.007112e-006
1.910021428571940e-003	2.743697e-006
1.924635714286234e-003	2.506255e-006
1.939250000000528e-003	2.294785e-006
1.939350000000528e-003	2.293366e-006
1.948157143394047e-003	2.172569e-006
1.956964286787566e-003	2.057415e-006
1.965771430181085e-003	1.947904e-006
1.974578573574603e-003	1.844036e-006
1.983385716968123e-003	1.745812e-006
1.992192860361642e-003	1.653231e-006
2.001000003755160e-003	1.566293e-006
2.001017590247423e-003	1.495267e-006
2.001035176739685e-003	1.573085e-006
2.001052763231948e-003	1.799747e-006
2.001070349724210e-003	2.175255e-006
2.001087936216473e-003	2.699607e-006
2.001105522708735e-003	3.372803e-006
2.001123109200998e-003	4.194845e-006
2.001196362531156e-003	1.164155e-005
2.001271902719645e-003	2.828581e-005
2.001352715062379e-003	6.029832e-005
2.001429978025997e-003	1.083472e-004
2.001500000000000e-003	1.656107e-004
2.001549015381803e-003	2.233762e-004
2.001605032961006e-003	3.052578e-004
2.001705032961005e-003	4.837933e-004
2.001805032961005e-003	7.025425e-004
2.001905032961005e-003	9.659682e-004
2.002005032961005e-003	1.273472e-003
2.002105032961005e-003	1.624462e-003
2.002205032961005e-003	2.018351e-003
2.002305032961004e-003	2.454559e-003
2.002405032961004e-003	2.932511e-003
2.002505032961004e-003	3.451639e-003
2.002705032961004e-003	4.611173e-003
2.002905032961003e-003	5.928721e-003
2.003105032961003e-003	7.399934e-003
2.003305032961003e-003	9.020548e-003
2.003505032961003e-003	1.078639e-002
2.003805032961002e-003	1.369851e-002
2.004105032961002e-003	1.691473e-002
2.004405032961001e-003	2.042198e-002
2.004704313966572e-003	2.422728e-002
2.005003594972144e-003	2.826836e-002
2.005302875977715e-003	3.254522e-002
2.005602156983286e-003	3.705786e-002
2.005901437988858e-003	4.180628e-002
2.006200718994429e-003	4.679048e-002
2.006500000000000e-003	5.201046e-002
2.006566476927302e-003	5.319298e-002
2.006742450558503e-003	5.634975e-002
2.006900000000000e-003	5.917973e-002
2.007000000000000e-003	6.096452e-002
2.007030000000000e-003	6.149482e-002
2.007718571428570e-003	7.287091e-002
2.008407142857140e-003	8.328275e-002
2.009095714285711e-003	9.273034e-002
2.009784285714281e-003	1.012137e-001
2.010472857142852e-003	1.087328e-001
2.011161428571422e-003	1.152876e-001
2.011849999999992e-003	1.208782e-001
2.012564285714277e-003	1.259447e-001
2.013278571428561e-003	1.304075e-001
2.013992857142846e-003	1.342667e-001
2.014707142857130e-003	1.375222e-001
2.015421428571415e-003	1.401741e-001
2.016135714285700e-003	1.422223e-001
2.016849999999984e-003	1.436668e-001
2.017564285714269e-003	1.447076e-001
2.018278571428553e-003	1.454222e-001
2.018992857142838e-003	1.458104e-001
