time	V(in)	V(out)
2.374978571427982e-003	1.859582e-009	4.533298e-002
2.389592857142244e-003	1.695767e-009	4.133949e-002
2.404207142856506e-003	1.545555e-009	3.767763e-002
2.418821428570769e-003	1.408947e-009	3.434739e-002
2.433435714285031e-003	1.285942e-009	3.134877e-002
2.448049999999293e-003	1.176541e-009	2.868178e-002
2.448149999999293e-003	1.175807e-009	2.866388e-002
2.462764285713555e-003	1.074998e-009	2.620635e-002
2.477378571427818e-003	9.813676e-010	2.392383e-002
2.491992857142080e-003	8.949166e-010	2.181633e-002
2.506607142856342e-003	8.156445e-010	1.988383e-002
2.521221428570605e-003	7.435515e-010	1.812634e-002
2.535835714284867e-003	6.786375e-010	1.654386e-002
2.550449999999129e-003	6.209026e-010	1.513640e-002
2.550549999999129e-003	6.205151e-010	1.512695e-002
2.565164285713391e-003	5.673146e-010	1.383003e-002
2.579778571427654e-003	5.179027e-010	1.262546e-002
2.594392857141916e-003	4.722794e-010	1.151325e-002
2.609007142856178e-003	4.304447e-010	1.049341e-002
2.623621428570441e-003	3.923987e-010	9.565917e-003
2.638235714284703e-003	3.581412e-010	8.730787e-003
2.652849999998965e-003	3.276724e-010	7.988017e-003
2.652949999998965e-003	3.274679e-010	7.983033e-003
2.667564285713227e-003	2.993921e-010	7.298599e-003
2.682178571427490e-003	2.733157e-010	6.662906e-003
2.696792857141752e-003	2.492387e-010	6.075954e-003
2.711407142856014e-003	2.271610e-010	5.537744e-003
2.726021428570277e-003	2.070828e-010	5.048275e-003
2.740635714284539e-003	1.890039e-010	4.607548e-003
2.755249999998801e-003	1.729244e-010	4.215561e-003
2.755349999998801e-003	1.728165e-010	4.212931e-003
2.769964285713063e-003	1.579999e-010	3.851731e-003
2.784578571427326e-003	1.442384e-010	3.516253e-003
2.799192857141588e-003	1.315321e-010	3.206498e-003
2.813807142855850e-003	1.198810e-010	2.922465e-003
2.828421428570113e-003	1.092850e-010	2.664155e-003
2.843035714284375e-003	9.974410e-011	2.431567e-003
2.857649999998637e-003	9.125839e-011	2.224702e-003
2.857749999998637e-003	9.120144e-011	2.223314e-003
2.872364285712899e-003	8.338219e-011	2.032696e-003
2.886978571427162e-003	7.611978e-011	1.855652e-003
2.901592857141424e-003	6.941420e-011	1.692183e-003
2.916207142855686e-003	6.326547e-011	1.542289e-003
2.930821428569949e-003	5.767358e-011	1.405970e-003
2.945435714284211e-003	5.263852e-011	1.283225e-003
2.960049999998473e-003	4.816031e-011	1.174055e-003
2.960149999998473e-003	4.813026e-011	1.173322e-003
3.001000000000000e-003	3.729777e-011	9.092472e-004
