time	V
4.010883425985128e-004	4.540828e-001
4.011104282481343e-004	4.543638e-001
4.011325138977557e-004	4.547262e-001
4.011545995473772e-004	4.551698e-001
4.012039424691805e-004	4.562714e-001
4.012532853909837e-004	4.577564e-001
4.013026283127870e-004	4.596249e-001
4.013519712345902e-004	4.618768e-001
4.014013141563935e-004	4.645121e-001
4.014506570781967e-004	4.675309e-001
4.015000000000000e-004	4.709330e-001
4.015300542348330e-004	4.732123e-001
4.015601084696660e-004	4.754954e-001
4.015901627044990e-004	4.777825e-001
4.016202169393320e-004	4.800734e-001
4.016502711741650e-004	4.823682e-001
4.016803254089980e-004	4.846670e-001
4.017103796438310e-004	4.869696e-001
4.065000000000000e-004	8.470652e-001
4.065700000000000e-004	8.518634e-001
4.066314285714286e-004	8.554662e-001
4.066928571428571e-004	8.585119e-001
4.067542857142857e-004	8.610005e-001
4.068157142857143e-004	8.629321e-001
4.068771428571429e-004	8.643066e-001
4.069385714285714e-004	8.651241e-001
4.070000000000000e-004	8.653846e-001
4.070300000000000e-004	8.652430e-001
4.188328571428574e-004	8.024606e-001
4.306357142857147e-004	7.435588e-001
4.424385714285720e-004	6.885377e-001
4.542414285714294e-004	6.373972e-001
4.660442857142867e-004	5.901374e-001
4.778471428571440e-004	5.467582e-001
4.896500000000013e-004	5.072597e-001
4.897500000000013e-004	5.069320e-001
4.999499999999960e-004	4.745899e-001
5.000000000000000e-004	4.744365e-001
