time	V(in)	V(out)	abs(V(out)/V(in))
3.973779021779391e-003	-1.008178e-002	1.014965e-001	1.006732e+001
4.074067670662581e-003	2.842250e-002	-2.835930e-001	9.977765e+000
4.132534538880953e-003	4.814880e-002	-4.809968e-001	9.989799e+000
4.169459383488690e-003	5.756978e-002	-5.753382e-001	9.993754e+000
4.195162895325909e-003	6.223058e-002	-6.220518e-001	9.995918e+000
4.213969353129851e-003	6.454562e-002	-6.452843e-001	9.997337e+000
4.229858534212380e-003	6.574213e-002	-6.573210e-001	9.998475e+000
4.245137098727188e-003	6.621946e-002	-6.621642e-001	9.999541e+000
4.263192074315134e-003	6.592903e-002	-6.593426e-001	1.000079e+001
4.286471410983910e-003	6.413975e-002	-6.415550e-001	1.000245e+001
4.324187039489838e-003	5.806223e-002	-5.809389e-001	1.000545e+001
4.384130374693013e-003	4.206640e-002	-4.211854e-001	1.001239e+001
4.473779021786257e-003	1.008178e-002	-1.014965e-001	1.006732e+001
4.574067670666961e-003	-2.842250e-002	2.835930e-001	9.977765e+000
4.632534538883554e-003	-4.814880e-002	4.809968e-001	9.989799e+000
4.669459383490437e-003	-5.756978e-002	5.753382e-001	9.993754e+000
4.695162895327165e-003	-6.223058e-002	6.220518e-001	9.995918e+000
4.713969353130784e-003	-6.454562e-002	6.452842e-001	9.997336e+000
4.729858534213541e-003	-6.574213e-002	6.573210e-001	9.998474e+000
4.745137098727447e-003	-6.621946e-002	6.621642e-001	9.999541e+000
4.763192074315230e-003	-6.592903e-002	6.593426e-001	1.000079e+001
4.786471410984066e-003	-6.413975e-002	6.415550e-001	1.000245e+001
4.824187039490089e-003	-5.806223e-002	5.809389e-001	1.000545e+001
4.884130374693405e-003	-4.206640e-002	4.211854e-001	1.001239e+001
4.973779021786813e-003	-1.008178e-002	1.014965e-001	1.006732e+001
5.074067670667317e-003	2.842250e-002	-2.835930e-001	9.977765e+000
5.132534538883765e-003	4.814880e-002	-4.809968e-001	9.989799e+000
5.169459383490579e-003	5.756978e-002	-5.753382e-001	9.993754e+000
5.195162895327267e-003	6.223058e-002	-6.220517e-001	9.995917e+000
5.213969353130859e-003	6.454562e-002	-6.452842e-001	9.997336e+000
5.229858534213634e-003	6.574213e-002	-6.573210e-001	9.998475e+000
5.245137098727469e-003	6.621946e-002	-6.621642e-001	9.999541e+000
5.263192074315238e-003	6.592903e-002	-6.593426e-001	1.000079e+001
5.286471410984079e-003	6.413975e-002	-6.415550e-001	1.000245e+001
5.324187039490110e-003	5.806223e-002	-5.809389e-001	1.000545e+001
5.384130374693439e-003	4.206640e-002	-4.211854e-001	1.001239e+001
5.473779021786860e-003	1.008178e-002	-1.014965e-001	1.006732e+001
5.574067670667347e-003	-2.842250e-002	2.835930e-001	9.977765e+000
5.632534538883784e-003	-4.814880e-002	4.809968e-001	9.989799e+000
5.669459383490592e-003	-5.756978e-002	5.753382e-001	9.993754e+000
5.695162895327276e-003	-6.223058e-002	6.220518e-001	9.995918e+000
5.713969353130867e-003	-6.454562e-002	6.452842e-001	9.997336e+000
5.729858534213645e-003	-6.574213e-002	6.573210e-001	9.998475e+000
5.745137098727471e-003	-6.621946e-002	6.621642e-001	9.999541e+000
5.763192074315239e-003	-6.592903e-002	6.593426e-001	1.000079e+001
5.786471410984082e-003	-6.413975e-002	6.415550e-001	1.000245e+001
5.824187039490114e-003	-5.806223e-002	5.809389e-001	1.000545e+001
5.884130374693444e-003	-4.206640e-002	4.211854e-001	1.001239e+001
5.973779021786869e-003	-1.008178e-002	1.014965e-001	1.006732e+001
6.074067670667353e-003	2.842250e-002	-2.835930e-001	9.977765e+000
6.132534538883787e-003	4.814880e-002	-4.809968e-001	9.989799e+000
6.169459383490594e-003	5.756978e-002	-5.753382e-001	9.993754e+000
6.195162895327277e-003	6.223058e-002	-6.220518e-001	9.995918e+000
6.213969353130867e-003	6.454562e-002	-6.452842e-001	9.997336e+000
6.229858534213644e-003	6.574213e-002	-6.573210e-001	9.998475e+000
6.245137098727470e-003	6.621946e-002	-6.621642e-001	9.999541e+000
6.263192074315239e-003	6.592903e-002	-6.593426e-001	1.000079e+001
6.286471410984081e-003	6.413975e-002	-6.415550e-001	1.000245e+001
6.324187039490113e-003	5.806223e-002	-5.809389e-001	1.000545e+001
6.384130374693442e-003	4.206640e-002	-4.211854e-001	1.001239e+001
6.473779021786866e-003	1.008178e-002	-1.014965e-001	1.006732e+001
6.574067670667350e-003	-2.842250e-002	2.835930e-001	9.977765e+000
6.632534538883786e-003	-4.814880e-002	4.809968e-001	9.989799e+000
6.669459383490593e-003	-5.756978e-002	5.753382e-001	9.993754e+000
6.695162895327276e-003	-6.223058e-002	6.220517e-001	9.995917e+000
6.713969353130867e-003	-6.454562e-002	6.452842e-001	9.997336e+000
6.729858534213644e-003	-6.574213e-002	6.573210e-001	9.998475e+000
6.745137098727471e-003	-6.621946e-002	6.621642e-001	9.999541e+000
6.763192074315239e-003	-6.592903e-002	6.593426e-001	1.000079e+001
6.786471410984082e-003	-6.413975e-002	6.415550e-001	1.000245e+001
6.824187039490114e-003	-5.806223e-002	5.809389e-001	1.000545e+001
6.884130374693444e-003	-4.206640e-002	4.211854e-001	1.001239e+001
6.973779021786869e-003	-1.008178e-002	1.014965e-001	1.006732e+001
7.074067670667352e-003	2.842250e-002	-2.835930e-001	9.977765e+000
7.132534538883786e-003	4.814880e-002	-4.809968e-001	9.989799e+000
7.169459383490593e-003	5.756978e-002	-5.753382e-001	9.993754e+000
7.195162895327277e-003	6.223058e-002	-6.220518e-001	9.995918e+000
7.213969353130867e-003	6.454562e-002	-6.452842e-001	9.997336e+000
7.229858534213645e-003	6.574213e-002	-6.573210e-001	9.998475e+000
7.245137098727471e-003	6.621946e-002	-6.621642e-001	9.999541e+000
7.263192074315239e-003	6.592903e-002	-6.593426e-001	1.000079e+001
7.286471410984081e-003	6.413975e-002	-6.415550e-001	1.000245e+001
7.324187039490113e-003	5.806223e-002	-5.809389e-001	1.000545e+001
7.384130374693442e-003	4.206640e-002	-4.211854e-001	1.001239e+001
7.473779021786865e-003	1.008178e-002	-1.014965e-001	1.006732e+001
7.574067670667350e-003	-2.842250e-002	2.835930e-001	9.977765e+000
7.632534538883786e-003	-4.814880e-002	4.809968e-001	9.989799e+000
7.669459383490593e-003	-5.756978e-002	5.753382e-001	9.993754e+000
