Freq.	V(out)/V(in)
7.94328234724290e+003	(-6.94822844421584e+000dB,8.00228381907613e+000°)
8.31763771102680e+003	(-6.90145375301968e+000dB,5.39109390826516e+000°)
8.70963589956090e+003	(-6.87277531239491e+000dB,2.76854083776296e+000°)
9.12010839355919e+003	(-6.86231084243997e+000dB,1.40020538175881e-001°)
9.54992586021446e+003	(-6.87010348749049e+000dB,-2.48901141366723e+000°)
1.00000000000001e+004	(-6.89612111684455e+000dB,-5.11309557273121e+000°)
1.04712854805091e+004	(-6.94025684587838e+000dB,-7.72682450488380e+000°)
1.09647819614320e+004	(-7.00233075995640e+000dB,-1.03248974012851e+001°)
1.14815362149690e+004	(-7.08209278333846e+000dB,-1.29021721185094e+001°)
1.20226443461743e+004	(-7.17922659833001e+000dB,-1.54537134479493e+001°)
1.25892541179418e+004	(-7.29335448818435e+000dB,-1.79748365802293e+001°)
1.31825673855642e+004	(-7.42404295230223e+000dB,-2.04611449307550e+001°)
1.38038426460290e+004	(-7.57080892509870e+000dB,-2.29085617182512e+001°)
1.44543977074594e+004	(-7.73312642095487e+000dB,-2.53133549253908e+001°)
1.51356124843623e+004	(-7.91043342679745e+000dB,-2.76721555058735e+001°)
1.58489319246113e+004	(-8.10213887039732e+000dB,-2.99819689233828e+001°)
1.65958690743758e+004	(-8.30762950537877e+000dB,-3.22401803046757e+001°)
1.73780082874940e+004	(-8.52627657183597e+000dB,-3.44445536542494e+001°)
1.81970085861000e+004	(-8.75744211286880e+000dB,-3.65932257070825e+001°)
1.90546071796327e+004	(-9.00048485076819e+000dB,-3.86846950871671e+001°)
1.99526231496890e+004	(-9.25476555059647e+000dB,-4.07178074937742e+001°)
2.08929613085406e+004	(-9.51965182229471e+000dB,-4.26917376574896e+001°)
2.18776162394958e+004	(-9.79452233422159e+000dB,-4.46059687984061e+001°)
2.29086765276780e+004	(-1.00787704304629e+001dB,-4.64602702847393e+001°)
2.39883291901952e+004	(-1.03718071608844e+001dB,-4.82546741372437e+001°)
2.51188643150961e+004	(-1.06730637465079e+001dB,-4.99894509587487e+001°)
2.63026799189541e+004	(-1.09819935133547e+001dB,-5.16650857941276e+001°)
2.75422870333820e+004	(-1.12980733355566e+001dB,-5.32822543486091e+001°)
2.88403150312664e+004	(-1.16208046335421e+001dB,-5.48417999153221e+001°)
3.01995172040205e+004	(-1.19497139758026e+001dB,-5.63447112892663e+001°)
3.16227766016842e+004	(-1.22843533334824e+001dB,-5.77921018766738e+001°)
3.31131121482595e+004	(-1.26243000362141e+001dB,-5.91851901473616e+001°)
3.46736850452536e+004	(-1.29691564755847e+001dB,-6.05252815239606e+001°)
3.63078054770106e+004	(-1.33185495997046e+001dB,-6.18137517560812e+001°)
3.80189396320566e+004	(-1.36721302388504e+001dB,-6.30520317894153e+001°)
3.98107170553502e+004	(-1.40295722983119e+001dB,-6.42415941090313e+001°)
4.16869383470341e+004	(-1.43905718505908e+001dB,-6.53839405120808e+001°)
4.36515832240172e+004	(-1.47548461551288e+001dB,-6.64805912470551e+001°)
4.57088189614881e+004	(-1.51221326299152e+001dB,-6.75330754438290e+001°)
4.78630092322645e+004	(-1.54921877957086e+001dB,-6.85429227502218e+001°)
5.01187233627279e+004	(-1.58647862102656e+001dB,-6.95116560859349e+001°)
5.24807460249780e+004	(-1.62397194069403e+001dB,-7.04407854228123e+001°)
5.49540873857632e+004	(-1.66167948492996e+001dB,-7.13318025007842e+001°)
5.75439937337165e+004	(-1.69958349110064e+001dB,-7.21861763910526e+001°)
6.02559586074366e+004	(-1.73766758881345e+001dB,-7.30053498216064e+001°)
6.30957344480202e+004	(-1.77591670492810e+001dB,-7.37907361846046e+001°)
6.60693448007605e+004	(-1.81431697273147e+001dB,-7.45437171502352e+001°)
6.91830970918946e+004	(-1.85285564553124e+001dB,-7.52656408170763e+001°)
7.24435960075000e+004	(-1.89152101481671e+001dB,-7.59578203345458e+001°)
7.58577575029194e+004	(-1.93030233304795e+001dB,-7.66215329385852e+001°)
7.94328234724293e+004	(-1.96918974106342e+001dB,-7.72580193471413e+001°)
8.31763771102683e+004	(-2.00817420004060e+001dB,-7.78684834672214e+001°)
8.70963589956093e+004	(-2.04724742789996e+001dB,-7.84540923702283e+001°)
9.12010839355923e+004	(-2.08640184001009e+001dB,-7.90159764969049e+001°)
9.54992586021450e+004	(-2.12563049402727e+001dB,-7.95552300575050e+001°)
1.00000000000001e+005	(-2.16492703868609e+001dB,-8.00729115967586e+001°)
1.04712854805091e+005	(-2.20428566634698e+001dB,-8.05700446968038e+001°)
1.09647819614320e+005	(-2.24370106910069e+001dB,-8.10476187945440e+001°)
1.14815362149690e+005	(-2.28316839822813e+001dB,-8.15065900928496e+001°)
1.20226443461743e+005	(-2.32268322681512e+001dB,-8.19478825476937e+001°)
1.25892541179419e+005	(-2.36224151532569e+001dB,-8.23723889157001e+001°)
1.31825673855643e+005	(-2.40183957994305e+001dB,-8.27809718487158e+001°)
1.38038426460291e+005	(-2.44147406349484e+001dB,-8.31744650239150e+001°)
1.44543977074595e+005	(-2.48114190878705e+001dB,-8.35536742996267e+001°)
1.51356124843623e+005	(-2.52084033418019e+001dB,-8.39193788885584e+001°)
1.58489319246114e+005	(-2.56056681125040e+001dB,-8.42723325414038e+001°)
1.65958690743759e+005	(-2.60031904438770e+001dB,-8.46132647349666e+001°)
1.73780082874940e+005	(-2.64009495219329e+001dB,-8.49428818599462e+001°)
1.81970085861001e+005	(-2.67989265054716e+001dB,-8.52618684044083e+001°)
1.90546071796328e+005	(-2.71971043722674e+001dB,-8.55708881297324e+001°)
1.99526231496891e+005	(-2.75954677796622e+001dB,-8.58705852364964e+001°)
